Bad Phone/Email Report
Created On:,"Nov 01, 2022"
School:,All schools
Status:,All statuses
Types:,All types
Roles:,All roles
""
Organization,Organization Type,Parent Name,Bad Email Addresses,Total Email Addresses,Bad/Total Email,Bad Phone Numbers,Total Phone Numbers,Bad/Total Phone,Bad SMS Numbers,Total SMS Numbers,Bad/Total SMS
Automation Org - Do Not Delete,High,SPL9 School District 99-3 R 10/39,0,312,0.00%,102,400,25.50%,0,135,0.00%
Automation institute,High,SPL9 Elementary,0,49,0.00%,1,22,4.55%,0,3,0.00%
Bayside High School,High,SPL9 School District 99-3 R 10/39,0,118,0.00%,1,42,2.38%,2,41,4.88%
SPL9 Elementary,Elementary,SPL9 School District 99-3 R 10/39,0,8,0.00%,1,6,16.67%,2,4,50.00%
SPL9 Middle School,Middle,SPL9 School District 99-3 R 10/39,0,13,0.00%,3,14,21.43%,4,11,36.36%
SPL9 School District 99-3 R 10/39,District,Blackboard System (PT 99-3),0,148,0.00%,8,103,7.77%,3,43,6.98%
St. Antony's Higher Secondary School,High,SPL9 School District 99-3 R 10/39,0,10,0.00%,3,10,30.00%,0,0,0.00%
Sunnydale High School,High,SPL9 School District 99-3 R 10/39,0,30,0.00%,1,28,3.57%,0,0,0.00%
Test SPL9 High School,High,SPL9 School District 99-3 R 10/39,2,4401,0.05%,115,577,19.93%,11,64,17.19%
Velammal,High,SPL9 School District 99-3 R 10/39,0,18,0.00%,6,6,100.00%,0,0,0.00%
""
""
""
Recipient,ID,Role,Student,Student ID,Organization,Address,New Number,Date Flagged,Date Deactivated,Has Good Phone,Has Good Email,Has Good SMS,Deactivated,Flagged,Invalid
"Renee, Dixon",C7CC262DF5FB79F17F07525400ED5E24,Recipient,,,Test SPL9 High School,305-8902038,305-504-9098,,"Apr 28, 2016",No,No,No,Yes,No,No
"Robin, Chase",38,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Rose Mimose, Cardichon",CFA00CBBF60D79F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-8031749,,,"Jun 02, 2017",No,No,No,Yes,No,No
"Roxanne, Nowell",B3F037F198B858FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-4654872,,,"Mar 05, 2018",No,No,No,Yes,No,No
"Sabreen, Shelby",91,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Sabrina, Merritt",0682F46E98A658FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,754-2730094,,"Apr 20, 2017","Apr 14, 2022",No,No,No,Yes,Yes,No
"Saha, Khadijah",60,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Samdat, Surjie",8693950EF74079F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-4488546,,,"Apr 01, 2018",No,No,No,Yes,No,No
"Samuel, Keane",23,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Sandra, Diaz",2D658035F68079F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-3479400,,,"Mar 23, 2019",No,No,No,Yes,No,No
"Sassha, Alexis",47,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Satia, Horn",9AF563AD98BA58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-6587897,,"Apr 20, 2017","May 27, 2022",No,No,No,Yes,Yes,No
"Shadi, Azammanesh",EA811DBFA8DB4F4C7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-5993477,,,"Jul 31, 2019",No,No,No,Yes,No,No
"Sharmila, Sarah",37,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Shazia, Zaheer",8DE8DA3CF64079F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-8172326,,,"Mar 08, 2017",No,No,No,Yes,No,No
"Sherry, Hont",FCF9DF3C98A558FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,786-2815056,786-716-4490,"Mar 07, 2017","Apr 11, 2017",No,No,No,Yes,Yes,No
"Sherry, Rottman",41CD0327F60D79F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-6079615,,"Apr 20, 2017",,No,No,No,No,Yes,No
"Simone, Garcon",04564A33989C58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,786-3672905,,"Apr 20, 2017","Mar 04, 2019",No,No,No,Yes,Yes,No
"Smith, Alison",232,Community Member,,,Automation Org - Do Not Delete,111-222-3333,,,,No,Yes,Yes,No,No,Yes
"Smith, Alison",232,Principal,,,Automation Org - Do Not Delete,111-222-3333,,,,No,No,No,No,No,Yes
"Sonia, Gates",BBF8399A989758FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-6680754,786-616-3666,,"Jun 06, 2016",No,No,No,Yes,No,No
"Staff1, Staff1",StaffA,Community Member,,,Test SPL9 High School,801-000-0000,,"Jul 20, 2022",,No,Yes,No,No,Yes,No
"Staff1, Staff1",StaffA,Community Member,,,Test SPL9 High School,801-000-0000,,"Jul 20, 2022",,No,Yes,No,No,Yes,No
"Staff1, Staff1",StaffA,Community Member,,,Test SPL9 High School,1,,"Mar 13, 2018",,No,Yes,No,No,Yes,Yes
"Steffi, Erika",32,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Stella, Ju'Quaves",90,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Swaina, Williams",9A877C0398B358FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-2958314,,,"Dec 06, 2019",No,No,No,Yes,No,No
"Sylvia, Reid",81CE23D098B558FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-8516560,904-452-3489,,"Jun 22, 2016",No,No,No,Yes,No,No
"Tadaski, Moore",D4F0967BF70D79F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-3092955,,,"May 01, 2016",No,No,No,Yes,No,No
"Tahnveer, Tristan",19,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Tamil, Symone",53,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Tamilan, Taylor",57,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Teresa, Clay",70D1E1BB989A58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-2132832,,"Mar 07, 2017",,No,No,No,No,Yes,No
"Test, D",DTest,Parent,,,SPL9 School District 99-3 R 10/39,9361399013,,"May 17, 2022",,No,Yes,No,No,Yes,No
"Test, Prin",printest,Principal,,,Test SPL9 High School,8965412378,,"Sep 13, 2021",,Yes,No,No,No,Yes,No
"Todd, Moore",3C93FE21F64379F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-3092955,,,"May 01, 2016",No,No,No,Yes,No,No
"Tomasa, Fortaneli",ECE00A8B98A558FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-6385651,954-934-5385,,"Apr 05, 2017",No,No,No,Yes,No,No
"Trish, Isaiah",80,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Valencia, Wilson",826BF0EA98A558FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,917-9232526,917-715-3770,,"May 08, 2017",No,No,No,Yes,No,No
"Vani, Samantha",71,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Varun, Matthew",25,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Veena, Trevon",54,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Veronica, Gidron",8C5516C298A958FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-8947330,,"Apr 20, 2017",,No,No,No,No,Yes,No
"Warun, Tasean",44,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Wasan, Charlotte",106,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Wasan, Luke",105,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Wesline, Elien",F56A7E6098AA58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-5494399,786-838-3536,,"Apr 17, 2017",No,No,No,Yes,No,No
"William, Hunter",31,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"William, Sabrina",34,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"Willine, Louis",CC89884998B358FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-5340059,,,"Oct 20, 2022",No,No,No,Yes,No,No
"Yaquelin, Lazala",C8890402F6CE79F17F07525400ED5E24,Recipient,,,Test SPL9 High School,786-7047048,786-267-7574,,"Apr 09, 2019",No,No,No,Yes,No,No
"Yolande, Williams",BC004B2198A358FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-5880373,561-503-8966,,"Nov 06, 2017",No,No,No,Yes,No,No
"Yoleine, Louis",BA72A098F68179F17F07525400ED5E24,Recipient,,,Test SPL9 High School,954-5842558,,"Apr 20, 2017",,No,No,No,No,Yes,No
"Yovana, Bisumbor",2E17767F98A858FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,305-6094480,,,"Jul 06, 2017",No,No,No,Yes,No,No
"Yura, Yoon",YOONZ,Community Member,,,SPL9 School District 99-3 R 10/39,6590264594,,"May 10, 2022",,No,Yes,No,No,Yes,No
bill.stuver@parentlink.net,C8CE15D1989E58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,bill.stuver@parentlink.net,,"Mar 08, 2017",,No,No,No,No,Yes,No
bill.stuver@parentlink.net,110CEAD05701647D4F0B525400ED5E24,Recipient,,,Test SPL9 High School,bill.stuver@parentlink.net,,"Mar 08, 2017",,No,No,No,No,Yes,No
"com1595, com1595",1126710C17F246056F00525400ED5E24,Community Member,,,"SPL9 School District 99-3 R 10/39, Test SPL9 High School",1234567890,,"Jul 23, 2020","Aug 28, 2020",No,Yes,No,Yes,Yes,No
"com1620c, com1620c",com1620c,Community Member,,,"SPL9 School District 99-3 R 10/39, Test SPL9 High School",1234567890,,"Jul 23, 2020","Aug 28, 2020",Yes,Yes,Yes,Yes,Yes,No
"community2, Member2",4,Community Member,,,Velammal,456-987-4562,,"Oct 08, 2021",,No,Yes,No,No,Yes,No
"community3, Member3",5,Community Member,,,Velammal,456-987-4562,,"Oct 08, 2021",,No,Yes,No,No,Yes,No
"community4, Member4",6,Community Member,,,Velammal,456-987-4562,,"Oct 08, 2021",,No,Yes,No,No,Yes,No
"community5, Member5",7,Community Member,,,Velammal,456-987-4562,,"Oct 08, 2021",,No,Yes,No,No,Yes,No
"community6, Member6",8,Community Member,,,Velammal,456-987-4562,,"Oct 08, 2021",,No,Yes,No,No,Yes,No
"community7, Member7",9,Community Member,,,Velammal,456-987-4562,,"Oct 08, 2021",,No,Yes,No,No,Yes,No
"conway, Devon",devon.conway,Parent,,,St. Antony's Higher Secondary School,202-981-3256,,"Oct 18, 2022",,No,Yes,No,No,Yes,No
"craig, Daniel",70,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
"middlead, middlead",middlead,Parent,,,SPL9 Middle School,5511122212,,"Jul 20, 2022",,No,Yes,No,No,Yes,No
"powell, Kieran",kieran.powell,Principal,,,St. Antony's Higher Secondary School,202-981-3256,,"Oct 18, 2022",,No,Yes,No,No,Yes,No
"principle1, principle1",admin1,District Administrator,,,SPL9 School District 99-3 R 10/39,1234567890,,"Jul 23, 2020","Aug 28, 2020",No,No,No,Yes,Yes,No
"staffandparent2, staffandparent2",parent2,Community Member,,,"SPL9 Middle School, Test SPL9 High School",8010000000,,"Jul 20, 2022",,No,Yes,No,No,Yes,No
"staffandparent2, staffandparent2",parent2,Community Member,,,"SPL9 Middle School, Test SPL9 High School",1,,"Mar 13, 2018",,No,Yes,No,No,Yes,Yes
"staffandparent2, staffandparent2",parent2,Community Member,,,"SPL9 Middle School, Test SPL9 High School",8010000000,,"Jul 20, 2022",,No,Yes,No,No,Yes,No
"t edited, t edited",ttttttttttt,Parent,,,Bayside High School,7896445634,,"Aug 24, 2022",,Yes,No,No,No,Yes,No
"teacher, Bindhu",bindhu teacher,Teacher,,,Bayside High School,2021234567,,"Sep 13, 2021",,No,Yes,No,No,Yes,No
"test, test",schooDadmin,School Administrator,,,"SPL9 Middle School, SPL9 School District 99-3 R 10/39",8010000001,,"Jul 20, 2022",,Yes,Yes,No,No,Yes,No
